year,countryA,countryB,value_toA,value_toB,magnitude_toA,magnitude_toB,qualifier_toA,qualifier_toB,netflow,net_destination
1998,BEL,ZAF,NA,0,NA,NIL,NA,NA,NA,NA
1998,IRL,SOM,0,NA,NIL,NA,NA,NA,NA,NA
1998,POL,STP,0,0,NIL,NA,NA,NA,0,POL
1998,MAR,MDV,NA,0,NA,NA,NA,NA,NA,NA
1998,COK,LKA,0,NA,NA,NA,NA,NA,NA,NA
1998,KHM,NZL,NA,7,NA,NA,NA,NA,NA,NA
1998,LAO,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,BOL,CAN,0,15,NIL,NA,NA,NAT_EST,15,CAN
1998,CMR,WSM,NA,0,NA,NIL,NA,NA,NA,NA
1998,MRT,NIU,NA,0,NA,NA,NA,NA,NA,NA
1998,ARG,ISL,0,0,NIL,NIL,NA,NA,0,ARG
1998,HKG,TUR,NA,0,NA,NIL,NA,NA,NA,NA
1998,ESP,WSM,NA,0,NA,NIL,NA,NA,NA,NA
1998,AUS,MDV,0,0,NIL,NA,NA,NA,0,AUS
1998,COK,SMR,0,NA,NA,NA,NA,NA,NA,NA
1998,FIN,JOR,10,NA,NA,NA,NA,NA,NA,NA
1998,SUR,ZAF,NA,0,NA,NIL,NA,NA,NA,NA
1998,TLS,TUR,NA,0,NA,NIL,NA,NA,NA,NA
1998,HUN,SVN,21,NA,NA,NA,NA,NA,NA,NA
1998,ARG,THA,0,NA,NIL,NA,NA,NA,NA,NA
1998,GAB,WSM,NA,0,NA,NIL,NA,NA,NA,NA
1998,AUT,HUN,NA,36,NA,NA,NA,NA,NA,NA
1998,FIN,PRT,19,NA,NA,NA,NA,NA,NA,NA
1998,STP,SVK,0,NA,NA,NA,NA,NA,NA,NA
1998,BEN,JPN,NA,2,NA,NA,NA,NA,NA,NA
1998,NAM,SYC,NA,0,NA,NA,NA,NA,NA,NA
1998,CAN,FIN,42,65,NA,NA,NAT_EST,NA,23,FIN
1998,ISR,TKL,NA,0,NA,NA,NA,NA,NA,NA
1998,AFG,ARG,NA,0,NA,NIL,NA,NA,NA,NA
1998,NOR,PER,17,NA,NA,NA,NA,NA,NA,NA
1998,BLR,COK,NA,0,NA,NA,NA,NA,NA,NA
1998,NZL,VCT,1,NA,NA,NA,NA,NA,NA,NA
1998,GBR,KGZ,9,NA,NA,NA,NA,NA,NA,NA
1998,AND,NIU,NA,0,NA,NA,NA,NA,NA,NA
1998,SGP,SYC,NA,0,NA,NA,NA,NA,NA,NA
1998,GRC,TKL,NA,0,NA,NA,NA,NA,NA,NA
1998,MOZ,POL,NA,2,NA,NA,NA,NA,NA,NA
1998,MDV,PAN,0,NA,NA,NA,NA,NA,NA,NA
1998,KHM,PNG,NA,0,NA,NIL,NA,NA,NA,NA
1998,AUS,OMN,0,NA,NIL,NA,NA,NA,NA,NA
1998,ANT,KOR,NA,0,NA,NIL,NA,NA,NA,NA
1998,BRN,ZWE,1,NA,NA,NA,NA,NA,NA,NA
1998,BFA,POL,NA,0,NA,NIL,NA,NA,NA,NA
1998,BOL,TLS,0,NA,NIL,NA,NA,NA,NA,NA
1998,MDG,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,STP,ZMB,0,NA,NA,NA,NA,NA,NA,NA
1998,MEX,PNG,NA,0,NA,NIL,NA,NA,NA,NA
1998,FRA,TUR,NA,11,NA,NA,NA,NA,NA,NA
1998,SYC,ZAF,0,0,NA,NIL,NA,NA,0,SYC
1998,ETH,TUR,NA,8,NA,NA,NA,NA,NA,NA
1998,STP,VCT,0,NA,NA,NA,NA,NA,NA,NA
1998,FJI,MDV,NA,0,NA,NA,NA,NA,NA,NA
1998,SUR,WSM,NA,0,NA,NIL,NA,NA,NA,NA
1998,COK,SOM,0,NA,NA,NA,NA,NA,NA,NA
1998,ISL,MAR,0,NA,NIL,NA,NA,NA,NA,NA
1998,TUR,ZWE,3,NA,NA,NA,NA,NA,NA,NA
1998,GBR,MOZ,89,NA,NA,NA,NA,NA,NA,NA
1998,NRU,SLE,0,NA,NA,NA,NA,NA,NA,NA
1998,BHR,NZL,NA,0,NA,NIL,NA,NA,NA,NA
1998,GTM,TUV,NA,0,NA,NA,NA,NA,NA,NA
1998,CRI,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,COK,VAT,0,NA,NA,NA,NA,NA,NA,NA
1998,GBR,LUX,503,NA,NA,NA,NA,NA,NA,NA
1998,BGR,COK,NA,0,NA,NA,NA,NA,NA,NA
1998,IND,NIU,NA,0,NA,NA,NA,NA,NA,NA
1998,HND,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,BRN,IND,4,NA,NA,NA,NA,NA,NA,NA
1998,SYC,TUR,0,0,NA,NIL,NA,NA,0,SYC
1998,COK,DOM,0,NA,NA,NA,NA,NA,NA,NA
1998,FRA,MDV,NA,0,NA,NA,NA,NA,NA,NA
1998,BGR,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,LCA,TKL,NA,0,NA,NA,NA,NA,NA,NA
1998,NRU,PSE,0,NA,NA,NA,NA,NA,NA,NA
1998,MDV,WSM,0,0,NA,NIL,NA,NA,0,MDV
1998,MWI,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,BRN,ZMB,1,NA,NA,NA,NA,NA,NA,NA
1998,FIN,TON,0,NA,NIL,NA,NA,NA,NA,NA
1998,MDA,NIU,NA,0,NA,NA,NA,NA,NA,NA
1998,ARG,SWE,0,NA,NIL,NA,NA,NA,NA,NA
1998,BOL,MKD,0,NA,NIL,NA,NA,NA,NA,NA
1998,NRU,NRU,0,NA,NA,NA,NA,NA,NA,NA
1998,NIU,TGO,0,NA,NA,NA,NA,NA,NA,NA
1998,FIN,KHM,2,NA,NA,NA,NA,NA,NA,NA
1998,KOR,PER,1,NA,NA,NA,NA,NA,NA,NA
1998,COK,KEN,0,NA,NA,NA,NA,NA,NA,NA
1998,ITA,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,BRN,GRD,0,NA,NIL,NA,NA,NA,NA,NA
1998,JAM,PNG,NA,0,NA,NIL,NA,NA,NA,NA
1998,MDG,SLV,NA,0,NA,NIL,NA,NA,NA,NA
1998,MUS,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,DJI,TUV,NA,0,NA,NA,NA,NA,NA,NA
1998,BOL,HTI,0,NA,NIL,NA,NA,NA,NA,NA
1998,COK,MLT,0,NA,NA,NA,NA,NA,NA,NA
1998,EGY,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,TUN,TUR,NA,30,NA,NA,NA,NA,NA,NA
1998,BRN,BRN,0,NA,NA,NA,NA,NA,NA,NA
1998,COL,FIN,NA,7,NA,NA,NA,NA,NA,NA
1998,KNA,ZAF,NA,0,NA,NIL,NA,NA,NA,NA
1998,NRU,PAN,0,NA,NA,NA,NA,NA,NA,NA
1998,GBR,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,NRU,VUT,0,NA,NA,NA,NA,NA,NA,NA
1998,ARG,KGZ,0,NA,NIL,NA,NA,NA,NA,NA
1998,PAN,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,COK,MOZ,0,NA,NA,NA,NA,NA,NA,NA
1998,BTN,JPN,NA,9,NA,NA,NA,NA,NA,NA
1998,COG,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,BTN,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,BGD,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,FSM,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,AUS,DJI,0,NA,NIL,NA,NA,NA,NA,NA
1998,NOR,TON,0,NA,NIL,NA,NA,NA,NA,NA
1998,JPN,MDG,8,NA,NA,NA,NA,NA,NA,NA
1998,BRN,SVK,0,NA,NIL,NA,NA,NA,NA,NA
1998,KOR,ZWE,0,NA,NIL,NA,NA,NA,NA,NA
1998,COK,TCD,0,NA,NA,NA,NA,NA,NA,NA
1998,GHA,TUV,NA,0,NA,NA,NA,NA,NA,NA
1998,COK,TON,0,NA,NA,NA,NA,NA,NA,NA
1998,AUS,BRB,0,NA,NIL,NA,NA,NA,NA,NA
1998,BIH,NIU,NA,0,NA,NA,NA,NA,NA,NA
1998,FRA,NIU,NA,0,NA,NA,NA,NA,NA,NA
1998,SVN,TKL,NA,0,NA,NA,NA,NA,NA,NA
1998,AIA,CHN,0,NA,NA,NA,NA,NA,NA,NA
1998,FIN,URY,0,NA,NIL,NA,NA,NA,NA,NA
1998,HTI,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,HUN,ISL,3,0,NA,NIL,NA,NA,3,HUN
1998,MDA,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,COK,NZL,0,0,NA,NIL,NA,NA,0,COK
1998,GIN,SLV,NA,0,NA,NIL,NA,NA,NA,NA
1998,NZL,SWE,57,NA,NA,NA,NA,NA,NA,NA
1998,GNB,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,NRU,PHL,0,NA,NA,NA,NA,NA,NA,NA
1998,HKG,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,NRU,YEM,0,NA,NA,NA,NA,NA,NA,NA
1998,PAK,TUR,NA,80,NA,NA,NA,NA,NA,NA
1998,NGA,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,NZL,PRY,0,NA,NIL,NA,NA,NA,NA,NA
1998,PHL,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,PNG,SRB,0,NA,NIL,NA,NA,NA,NA,NA
1998,AFG,HUN,NA,18,NA,NA,NA,NA,NA,NA
1998,DMA,MDV,NA,0,NA,NA,NA,NA,NA,NA
1998,NRU,SEN,0,NA,NA,NA,NA,NA,NA,NA
1998,BRA,COK,NA,0,NA,NA,NA,NA,NA,NA
1998,BGR,NZL,NA,0,NA,NIL,NA,NA,NA,NA
1998,LVA,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,AFG,NIU,NA,0,NA,NA,NA,NA,NA,NA
1998,ARG,PSE,0,NA,NIL,NA,NA,NA,NA,NA
1998,MYS,NGA,53,NA,NA,NA,NA,NA,NA,NA
1998,ANT,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,BGD,GBR,NA,468,NA,NA,NA,NA,NA,NA
1998,NRU,SOM,0,NA,NA,NA,NA,NA,NA,NA
1998,HRV,TKL,NA,0,NA,NA,NA,NA,NA,NA
1998,AGO,HUN,NA,3,NA,NA,NA,NA,NA,NA
1998,ARG,NIC,0,NA,NIL,NA,NA,NA,NA,NA
1998,MOZ,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,AZE,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,AGO,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,NRU,VAT,0,NA,NA,NA,NA,NA,NA,NA
1998,AUS,KWT,0,NA,NIL,NA,NA,NA,NA,NA
1998,COK,MAC,0,NA,NA,NA,NA,NA,NA,NA
1998,IRL,MUS,9,NA,NA,NA,NA,NA,NA,NA
1998,IRN,MDV,NA,0,NA,NA,NA,NA,NA,NA
1998,NRU,SUR,0,NA,NA,NA,NA,NA,NA,NA
1998,DMA,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,CAF,FIN,NA,0,NA,NIL,NA,NA,NA,NA
1998,BOL,OMN,0,NA,NIL,NA,NA,NA,NA,NA
1998,IRL,VCT,0,NA,NIL,NA,NA,NA,NA,NA
1998,ARM,SLV,NA,0,NA,NIL,NA,NA,NA,NA
1998,PNG,PRY,0,NA,NIL,NA,NA,NA,NA,NA
1998,HUN,RWA,0,NA,NIL,NA,NA,NA,NA,NA
1998,EGY,HUN,NA,15,NA,NA,NA,NA,NA,NA
1998,MMR,ZAF,NA,0,NA,NIL,NA,NA,NA,NA
1998,FRA,NOR,NA,86,NA,NA,NA,NA,NA,NA
1998,TUR,ZMB,3,NA,NA,NA,NA,NA,NA,NA
1998,MDV,NGA,0,NA,NA,NA,NA,NA,NA,NA
1998,HUN,NLD,5,NA,NA,NA,NA,NA,NA,NA
1998,LBY,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,BDI,KOR,NA,0,NA,NIL,NA,NA,NA,NA
1998,BOL,TUV,0,0,NIL,NA,NA,NA,0,BOL
1998,SVN,WSM,NA,0,NA,NIL,NA,NA,NA,NA
1998,NIU,RWA,0,NA,NA,NA,NA,NA,NA,NA
1998,MYS,YEM,40,NA,NA,NA,NA,NA,NA,NA
1998,AFG,TUR,NA,473,NA,NA,NA,NA,NA,NA
1998,ARG,BOL,517,15,NA,NA,NA,NA,502,ARG
1998,GBR,SWE,2982,NA,NA,NA,NA,NA,NA,NA
1998,AUS,ZAF,858,0,NA,NIL,NA,NA,858,AUS
1998,IRL,UGA,10,NA,NA,NA,NA,NA,NA,NA
1998,AUT,POL,NA,13,NA,NA,NA,NA,NA,NA
1998,JAM,JPN,NA,5,NA,NA,NA,NA,NA,NA
1998,JOR,MDV,NA,0,NA,NA,NA,NA,NA,NA
1998,HUN,UZB,0,NA,NIL,NA,NA,NA,NA,NA
1998,ARG,SUR,0,NA,NIL,NA,NA,NA,NA,NA
1998,NZL,SYR,0,NA,NIL,NA,NA,NA,NA,NA
1998,ARG,VNM,0,NA,NIL,NA,NA,NA,NA,NA
1998,LKA,POL,NA,4,NA,NA,NA,NA,NA,NA
1998,KIR,TKL,NA,0,NA,NA,NA,NA,NA,NA
1998,JPN,TKL,NA,0,NA,NA,NA,NA,NA,NA
1998,LIE,MYS,NA,0,NA,NIL,NA,NA,NA,NA
1998,DZA,STP,NA,0,NA,NA,NA,NA,NA,NA
1998,NZL,ZAF,8,0,NA,NIL,NA,NA,8,NZL
1998,NZL,TJK,0,NA,NIL,NA,NA,NA,NA,NA
1998,SYR,WSM,NA,0,NA,NIL,NA,NA,NA,NA
1998,NIU,PLW,0,NA,NA,NA,NA,NA,NA,NA
1998,AUS,SMR,0,NA,NIL,NA,NA,NA,NA,NA
1998,FIN,MCO,0,NA,NIL,NA,NA,NA,NA,NA
1998,MDG,TUR,NA,1,NA,NA,NA,NA,NA,NA
1998,COK,TUR,0,0,NA,NIL,NA,NA,0,COK
1998,JPN,TKM,0,NA,NIL,NA,NA,NA,NA,NA
1998,ARG,IRQ,0,NA,NIL,NA,NA,NA,NA,NA
1998,TLS,TUV,NA,0,NA,NA,NA,NA,NA,NA
1998,AIA,EST,0,NA,NA,NA,NA,NA,NA,NA
1998,ITA,POL,NA,9,NA,NA,NA,NA,NA,NA
1998,BOL,WSM,0,0,NIL,NIL,NA,NA,0,BOL
1998,GIN,NZL,NA,0,NA,NIL,NA,NA,NA,NA
1998,NZL,SWZ,0,NA,NIL,NA,NA,NA,NA,NA
1998,IRL,SUR,0,NA,NIL,NA,NA,NA,NA,NA
1998,BOL,TON,0,NA,NIL,NA,NA,NA,NA,NA
1998,HND,HND,0,NA,NA,NA,NA,NA,NA,NA
1998,BOL,GRD,0,NA,NIL,NA,NA,NA,NA,NA
1998,NIU,NRU,NA,0,NA,NA,NA,NA,NA,NA
1998,BRB,ZAF,NA,0,NA,NIL,NA,NA,NA,NA
1998,STP,THA,0,NA,NA,NA,NA,NA,NA,NA
1998,AUS,MAC,210,NA,NA,NA,NA,NA,NA,NA
1998,ARG,IRN,0,NA,NIL,NA,NA,NA,NA,NA
1998,COL,COL,0,NA,NA,NA,NA,NA,NA,NA
1998,COL,KOR,NA,0,NA,NIL,NA,NA,NA,NA
